component_name;replacement_name;comment;sourec_url
Microsoft.AspNetCore.Http.Connections.Common;ASP.NET Core;;
Microsoft.AspNetCore.Http.Connections;ASP.NET Core;;
Microsoft.AspNetCore.Http;ASP.NET Core;;
Microsoft.AspNetCore.Http.Extensions;ASP.NET Core;;
Microsoft.AspNetCore.Http.Features;ASP.NET Core;;
Microsoft.AspNetCore.HttpOverrides;ASP.NET Core;;
Microsoft.AspNetCore.HttpsPolicy;ASP.NET Core;;
Microsoft.AspNetCore.Identity;ASP.NET Core;;
Microsoft.AspNetCore.Localization;ASP.NET Core;;
Microsoft.AspNetCore.Localization.Routing;ASP.NET Core;;
Microsoft.AspNetCore.Metadata;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Abstractions;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.ApiExplorer;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Core;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Cors;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.DataAnnotations;ASP.NET Core;;
Microsoft.AspNetCore.Mvc;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Formatters.Json;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Formatters.Xml;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Localization;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.Razor;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.RazorPages;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.TagHelpers;ASP.NET Core;;
Microsoft.AspNetCore.Mvc.ViewFeatures;ASP.NET Core;;
Microsoft.AspNetCore.Razor;ASP.NET Core;;
Microsoft.AspNetCore.Razor.Runtime;ASP.NET Core;;
Microsoft.AspNetCore.ResponseCaching.Abstractions;ASP.NET Core;;
Microsoft.AspNetCore.ResponseCaching;ASP.NET Core;;
Microsoft.AspNetCore.ResponseCompression;ASP.NET Core;;
Microsoft.AspNetCore.Rewrite;ASP.NET Core;;
Microsoft.AspNetCore.Routing.Abstractions;ASP.NET Core;;
Microsoft.AspNetCore.Routing;ASP.NET Core;;
Microsoft.AspNetCore.Server.HttpSys;ASP.NET Core;;
Microsoft.AspNetCore.Server.IIS;ASP.NET Core;;
Microsoft.AspNetCore.Server.IISIntegration;ASP.NET Core;;
Microsoft.AspNetCore.Server.Kestrel.Core;ASP.NET Core;;
Microsoft.AspNetCore.Server.Kestrel;ASP.NET Core;;
Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets;ASP.NET Core;;
Microsoft.AspNetCore.Session;ASP.NET Core;;
Microsoft.AspNetCore.SignalR.Common;ASP.NET Core;;
Microsoft.AspNetCore.SignalR.Core;ASP.NET Core;;
Microsoft.AspNetCore.SignalR;ASP.NET Core;;
Microsoft.AspNetCore.SignalR.Protocols.Json;ASP.NET Core;;
Microsoft.AspNetCore.StaticFiles;ASP.NET Core;;
Microsoft.AspNetCore.WebSockets;ASP.NET Core;;
Microsoft.AspNetCore.WebUtilities;ASP.NET Core;;
Microsoft.Extensions.Caching.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Caching.Memory;ASP.NET Core;;
Microsoft.Extensions.Configuration.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Configuration.Binder;ASP.NET Core;;
Microsoft.Extensions.Configuration.CommandLine;ASP.NET Core;;
Microsoft.Extensions.Configuration;ASP.NET Core;;
Microsoft.Extensions.Configuration.EnvironmentVariables;ASP.NET Core;;
Microsoft.Extensions.Configuration.FileExtensions;ASP.NET Core;;
Microsoft.Extensions.Configuration.Ini;ASP.NET Core;;
Microsoft.Extensions.Configuration.Json;ASP.NET Core;;
Microsoft.Extensions.Configuration.KeyPerFile;ASP.NET Core;;
Microsoft.Extensions.Configuration.UserSecrets;ASP.NET Core;;
Microsoft.Extensions.Configuration.Xml;ASP.NET Core;;
Microsoft.Extensions.DependencyInjection.Abstractions;ASP.NET Core;;
